vehicle_id,sequence_no,node_id,arrival_time,waiting_time,service_start,service_end,departure_time,tardiness,cumulative_load
V021,1,C032,06:32,88.40349700000002,08:00,08:35,08:35,0.0,23.0
V021,2,C019,09:30,29.79917899999998,10:00,10:55,10:55,0.0,5.0
V021,3,C039,11:40,0.0,11:40,12:10,12:10,0.0,0.0
V021,4,D04,13:59,0.0,13:59,13:59,13:59,0.0,0.0
V023,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,19.0
V023,1,C024,06:33,386.760652,13:00,14:00,14:00,0.0,0.0
V023,2,D05,14:32,0.0,14:32,14:32,14:32,0.0,0.0
V024,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,23.0
V024,1,C038,06:34,206.16173700000002,10:00,10:50,10:50,0.0,8.0
V024,2,C003,11:34,0.0,11:34,12:09,12:09,0.0,0.0
V024,3,D05,12:57,0.0,12:57,12:57,12:57,0.0,0.0
V025,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,26.0
V025,1,C008,07:24,155.530098,10:00,10:40,10:40,0.0,17.0
V025,2,C048,11:09,0.0,11:09,12:04,12:04,0.0,0.0
V025,3,D05,13:02,0.0,13:02,13:02,13:02,0.0,0.0
V027,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V027,1,C001,08:36,0.0,08:36,09:16,09:16,0.0,19.0
V027,2,C040,11:39,0.0,11:39,12:24,12:24,0.0,7.0
V027,3,C049,13:05,0.0,13:05,13:40,13:40,65.27069400000005,0.0
V027,4,D02,16:09,0.0,16:09,16:09,16:09,0.0,0.0
V028,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V028,1,C031,07:43,17.453193999999996,08:00,08:55,08:55,0.0,13.0
V028,2,C011,10:30,0.0,10:30,11:15,11:15,0.0,0.0
V028,3,D05,13:44,0.0,13:44,13:44,13:44,0.0,0.0
