from_node,to_node,hour,travel_time_min,distance_km
D02,C016,6,262.234365,326.242526
D02,C017,6,92.496098,94.784531
D02,C018,6,159.549224,181.144873
D02,C019,6,312.007211,394.109957
D02,C020,6,127.716147,142.80718
D02,C021,6,178.426792,211.962628
D02,C022,6,253.709204,314.618015
D02,C023,6,271.130593,321.023981
D02,C024,6,318.90784,403.521851
D02,C025,6,213.400561,238.662124
D02,C026,6,287.595592,339.8365
D02,C027,6,51.495829,27.308394
D02,C028,6,236.318337,290.898739
D02,C029,6,245.869987,282.937653
D02,C030,6,118.757573,130.595139
D02,C031,6,229.629033,281.778367
D02,C032,6,348.33757,443.651565
D02,C033,6,296.089973,372.409555
D02,C034,6,127.776179,142.893687
D02,C035,6,132.444962,149.255995
D02,C036,6,294.719792,370.536184
D02,C037,6,116.698785,127.783856
D02,C038,6,282.837961,354.341557
D02,C039,6,270.278332,337.211941
D02,C040,6,194.524699,233.906767
D02,C041,6,173.850267,205.716342
D02,C042,6,53.880496,42.126358
D02,C043,6,232.963406,286.329229
D02,C044,6,132.9131,149.891648
D02,C045,6,60.612372,51.281008
D02,C046,6,171.024555,201.867326
D02,C047,6,246.538433,283.206429
D02,C048,6,337.394883,371.279698
D02,C049,6,155.904463,181.2429
D02,C050,6,267.941586,312.390593
D03,D01,6,311.640996,370.880707
D03,D02,6,331.741056,419.910105
D03,D04,6,99.563844,52.799008
D03,D05,6,259.118051,335.603228
D03,C001,6,299.649021,405.136623
D03,C002,6,4.175932,2.214509
D03,C003,6,269.623746,364.191685
D03,C004,6,353.569081,455.706439
D03,C005,6,123.068838,164.346772
D03,C006,6,297.929459,381.151738
D03,C007,6,296.317694,400.450978
D03,C008,6,180.928801,243.248104
D03,C009,6,248.056512,311.824768
D03,C010,6,262.961396,355.105136
D03,C011,6,223.765933,301.656072
D03,C012,6,298.360235,381.745646
D03,C013,6,90.506527,119.945553
D03,C014,6,93.97264,101.706232
D03,C015,6,246.279812,332.356233
D03,C016,6,288.63124,367.151797
D03,C017,6,250.608331,316.630321
D03,C018,6,181.54965,227.528309
D03,C019,6,161.77695,217.124945
D03,C020,6,215.81378,290.814755
D03,C021,6,156.139989,209.445968
D03,C022,6,195.13648,262.620557
D03,C023,6,317.768343,389.534446
D03,C024,6,232.171479,313.119432
D03,C025,6,202.13511,249.205071
D03,C026,6,129.144734,149.672073
D03,C027,6,317.129605,404.348857
D03,C028,6,127.772167,170.75567
D03,C029,6,169.667992,204.930766
D03,C030,6,310.98481,398.961389
D03,C031,6,169.608736,227.806946
D03,C032,6,131.160347,69.554729
D03,C033,6,38.483683,49.002686
D03,C034,6,218.816888,273.279406
D03,C035,6,256.040942,345.670405
D03,C036,6,321.116667,411.445455
D03,C037,6,224.400997,280.889808
D03,C038,6,228.105358,307.580627
D03,C039,6,120.048071,160.226929
D03,C040,6,271.209653,366.351597
D03,C041,6,227.71686,307.045225
D03,C042,6,289.225215,369.289174
D03,C043,6,279.601156,354.839694
D03,C044,6,201.670128,271.525669
D03,C045,6,274.015826,370.160157
D03,C046,6,259.547019,328.819074
D03,C047,6,94.552593,125.462589
D03,C048,6,207.205495,279.074979
D03,C049,6,232.589417,313.68773
D03,C050,6,73.154128,96.280911
D04,D01,6,405.69729,420.759043
D04,D02,6,377.090159,458.89915
D04,D03,6,99.563844,52.799008
D04,D05,6,199.505398,230.297075
D04,C001,6,326.994138,419.574775
D04,C002,6,98.232226,52.092847
D04,C003,6,213.243491,264.458876
D04,C004,6,447.625375,505.584777
D04,C005,6,217.125132,214.225109
D04,C006,6,391.985753,431.030074
D04,C007,6,340.719391,438.148105
D04,C008,6,117.863114,134.398797
D04,C009,6,342.112806,361.703106
D04,C010,6,308.310499,394.094181
D04,C011,6,268.16763,339.353199
D04,C012,6,392.416529,431.623982
D04,C013,6,139.179669,163.467379
D04,C014,6,188.028934,151.58457
D04,C015,6,273.624929,346.794385
D04,C016,6,382.687534,417.030135
D04,C017,6,344.664625,366.508657
D04,C018,6,275.605944,277.406645
D04,C019,6,67.927366,66.297597
D04,C020,6,261.162883,329.8038
D04,C021,6,201.489092,248.435013
D04,C022,6,238.136399,298.406167
D04,C023,6,411.824637,439.412784
D04,C024,6,169.105792,204.270125
D04,C025,6,296.191404,299.083409
D04,C026,6,223.201028,199.550411
D04,C027,6,362.478708,443.337902
D04,C028,6,172.898164,209.440479
D04,C029,6,263.724286,254.809104
D04,C030,6,405.041104,448.839725
D04,C031,6,214.010433,265.504073
D04,C032,6,31.596503,16.755721
D04,C033,6,132.539977,98.881024
D04,C034,6,312.873182,323.157742
D04,C035,6,300.442639,383.367533
D04,C036,6,415.172961,461.323793
D04,C037,6,281.220085,357.154883
D04,C038,6,205.161499,253.442903
D04,C039,6,109.644241,123.189247
D04,C040,6,315.61135,404.048724
D04,C041,6,273.065963,346.03427
D04,C042,6,358.564453,462.62828
D04,C043,6,373.65745,404.718032
D04,C044,6,247.019231,310.514714
D04,C045,6,319.364929,409.149202
D04,C046,6,353.603313,378.69741
D04,C047,6,188.608887,175.340927
D04,C048,6,144.139808,170.225672
D04,C049,6,276.991114,351.384857
D04,C050,6,167.210422,146.159249
D05,D01,6,352.191369,434.662967
D05,D02,6,313.850654,382.364158
D05,D03,6,259.118051,335.603228
D05,D04,6,199.505398,230.297075
D05,C001,6,155.670902,195.652881
D05,C002,6,257.786433,334.897067
D05,C003,6,47.573109,48.245419
D05,C004,6,498.238728,615.080468
D05,C005,6,255.904703,332.336645
D05,C006,6,338.479832,444.933998
D05,C007,6,193.211357,209.749812
D05,C008,6,84.469902,97.397772
D05,C009,6,383.279112,506.021075
D05,C010,6,237.209795,306.839372
D05,C011,6,155.806454,195.834112
D05,C012,6,376.439882,496.70309
D05,C013,6,171.437822,217.156469
D05,C014,6,309.120927,357.187497
D05,C015,6,102.301693,122.872491
D05,C016,6,433.300887,526.525826
D05,C017,6,333.94055,438.751461
D05,C018,6,298.253081,385.001884
D05,C019,6,134.42245,165.507882
D05,C020,6,227.939102,294.199342
D05,C021,6,192.063154,245.28216
D05,C022,6,66.813163,74.484273
D05,C023,6,452.990943,583.730753
D05,C024,6,33.239348,27.532874
D05,C025,6,346.804757,408.5791
D05,C026,6,269.782534,305.905456
D05,C027,6,265.928412,346.000892
D05,C028,6,134.337467,166.558409
D05,C029,6,314.337639,364.304795
D05,C030,6,360.202025,474.562069
D05,C031,6,102.546806,123.208916
D05,C032,6,170.752809,215.04949
D05,C033,6,223.466968,288.102678
D05,C034,6,312.154774,409.03443
D05,C035,6,184.241342,234.611917
D05,C036,6,465.786314,570.819484
D05,C037,6,255.402642,331.640867
D05,C038,6,33.838263,29.521009
D05,C039,6,145.355428,180.421491
D05,C040,6,165.25947,174.142331
D05,C041,6,181.807388,231.291456
D05,C042,6,295.324948,386.093288
D05,C043,6,414.823756,549.036001
D05,C044,6,221.201788,285.000698
D05,C045,6,255.98281,332.438652
D05,C046,6,352.884905,464.574098
D05,C047,6,227.388458,293.452463
D05,C048,6,58.205162,61.577237
D05,C049,6,160.789817,202.629242
D05,C050,6,205.989993,264.270785
C001,D01,6,308.046917,388.729879
C001,D02,6,269.706202,336.43107
C001,D03,6,299.649021,405.136623
C001,D04,6,326.994138,419.574775
C001,D05,6,155.670902,195.652881
C001,C002,6,298.317403,404.430462
C001,C003,6,166.176597,224.241338
C001,C004,6,468.478745,615.484896
C001,C005,6,296.435673,401.87004
C001,C006,6,294.33538,399.00091
C001,C007,6,149.066905,163.816723
C001,C008,6,211.958642,286.675472
C001,C009,6,348.219468,472.485468
C001,C010,6,193.065343,260.906284
C001,C011,6,172.900951,233.408681
C001,C012,6,332.29543,450.770002
C001,C013,6,211.968792,286.689864
C001,C014,6,349.651897,426.720892
C001,C015,6,58.157242,76.939403
C001,C016,6,403.540904,526.930254
C001,C017,6,289.796098,392.818373
C001,C018,6,263.193437,351.466277
C001,C019,6,261.91119,354.785582
C001,C020,6,231.36036,313.128584
C001,C021,6,232.594124,314.815555
C001,C022,6,107.344133,144.017668
C001,C023,6,417.931299,550.195146
C001,C024,6,160.728088,216.810574
C001,C025,6,317.044774,408.983528
C001,C026,6,310.313504,375.438851
C001,C027,6,221.78396,300.067804
C001,C028,6,174.868437,236.091804
C001,C029,6,349.5142,453.259057
C001,C030,6,316.057573,428.628981
C001,C031,6,143.077776,192.742311
C001,C032,6,298.241549,404.32719
C001,C033,6,263.997938,357.636073
C001,C034,6,277.09513,375.498823
C001,C035,6,140.09689,188.678829
C001,C036,6,436.026331,571.223912
C001,C037,6,220.342998,298.10526
C001,C038,6,124.658209,167.63028
C001,C039,6,237.238891,321.146541
C001,C040,6,121.115018,128.209242
C001,C041,6,198.901885,268.866025
C001,C042,6,251.180496,340.1602
C001,C043,6,379.764112,515.500394
C001,C044,6,236.557313,320.213052
C001,C045,6,211.838358,286.505564
C001,C046,6,317.825261,431.038491
C001,C047,6,267.919428,362.985858
C001,C048,6,185.693902,250.854937
C001,C049,6,116.645365,156.696153
C001,C050,6,246.520963,333.80418
C002,D01,6,310.309378,370.174546
C002,D02,6,330.409438,419.203944
C002,D03,6,4.175932,2.214509
C002,D04,6,98.232226,52.092847
C002,D05,6,257.786433,334.897067
C002,C001,6,298.317403,404.430462
C002,C003,6,268.292128,363.485524
C002,C004,6,352.237463,455.000278
C002,C005,6,121.73722,163.640611
C002,C006,6,296.597841,380.445577
C002,C007,6,294.986076,399.744817
C002,C008,6,179.597183,242.541943
C002,C009,6,246.724894,311.118607
C002,C010,6,261.629778,354.398975
C002,C011,6,222.434315,300.949911
C002,C012,6,297.028617,381.039485
C002,C013,6,89.174909,119.239392
C002,C014,6,92.641022,101.000071
C002,C015,6,244.948194,331.650072
C002,C016,6,287.299622,366.445636
C002,C017,6,249.276713,315.92416
C002,C018,6,180.218032,226.822148
C002,C019,6,160.445332,216.418784
C002,C020,6,214.482162,290.108594
C002,C021,6,154.808371,208.739807
C002,C022,6,193.804862,261.914396
C002,C023,6,316.436725,388.828285
C002,C024,6,230.839861,312.413271
C002,C025,6,200.803492,248.49891
C002,C026,6,127.813116,148.965912
C002,C027,6,315.797987,403.642696
C002,C028,6,126.440549,170.049509
C002,C029,6,168.336374,204.224605
C002,C030,6,309.653192,398.255228
C002,C031,6,168.277118,227.100785
C002,C032,6,129.828729,68.848568
C002,C033,6,37.152065,48.296525
C002,C034,6,217.48527,272.573245
C002,C035,6,254.709324,344.964244
C002,C036,6,319.785049,410.739294
C002,C037,6,223.069379,280.183647
C002,C038,6,226.77374,306.874466
C002,C039,6,118.716453,159.520768
C002,C040,6,269.878035,365.645436
C002,C041,6,226.385242,306.339064
C002,C042,6,287.893597,368.583013
C002,C043,6,278.269538,354.133533
C002,C044,6,200.33851,270.819508
C002,C045,6,272.684208,369.453996
C002,C046,6,258.215401,328.112913
C002,C047,6,93.220975,124.756428
C002,C048,6,205.873877,278.368818
C002,C049,6,231.257799,312.981569
C002,C050,6,71.82251,95.57475
C003,D01,6,362.697064,463.251424
C003,D02,6,324.356349,410.952615
C003,D03,6,269.623746,364.191685
C003,D04,6,213.243491,264.458876
C003,D05,6,47.573109,48.245419
C003,C001,6,166.176597,224.241338
C003,C002,6,268.292128,363.485524
C003,C004,6,508.744423,643.668925
C003,C005,6,266.410398,360.925102
C003,C006,6,348.985527,473.522455
C003,C007,6,203.717052,238.338269
C003,C008,6,98.207995,131.559573
C003,C009,6,393.784807,534.609532
C003,C010,6,247.71549,335.427829
C003,C011,6,166.312149,224.422569
C003,C012,6,386.945577,525.291547
C003,C013,6,181.943517,245.744926
C003,C014,6,319.626622,385.775954
C003,C015,6,112.807388,151.460948
C003,C016,6,443.806582,555.114283
C003,C017,6,344.446245,467.339918
C003,C018,6,308.758776,413.590341
C003,C019,6,148.160543,199.669683
C003,C020,6,238.444797,322.787799
C003,C021,6,202.568849,273.870617
C003,C022,6,77.318858,103.07273
C003,C023,6,463.496638,612.31921
C003,C024,6,46.977441,61.694675
C003,C025,6,357.310452,437.167557
C003,C026,6,280.288229,334.493913
C003,C027,6,276.434107,374.589349
C003,C028,6,144.843162,195.146866
C003,C029,6,324.843334,392.893252
C003,C030,6,370.70772,503.150526
C003,C031,6,113.052501,151.797373
C003,C032,6,184.490902,249.211291
C003,C033,6,233.972663,316.691135
C003,C034,6,322.660469,437.622887
C003,C035,6,194.747037,263.200374
C003,C036,6,476.292009,599.407941
C003,C037,6,265.908337,360.229324
C003,C038,6,44.343958,58.109466
C003,C039,6,159.093521,214.583292
C003,C040,6,175.765165,202.730788
C003,C041,6,192.313083,259.879913
C003,C042,6,305.830643,414.681745
C003,C043,6,425.329451,577.624458
C003,C044,6,231.707483,313.589155
C003,C045,6,266.488505,361.027109
C003,C046,6,363.3906,493.162555
C003,C047,6,237.894153,322.04092
C003,C048,6,71.943255,95.739038
C003,C049,6,171.295512,231.217699
C003,C050,6,216.495688,292.859242
C004,D01,6,282.822624,352.279863
C004,D02,6,327.172206,414.797168
C004,D03,6,353.569081,455.706439
C004,D04,6,447.625375,505.584777
C004,D05,6,498.238728,615.080468
C004,C001,6,468.478745,615.484896
C004,C002,6,352.237463,455.000278
C004,C003,6,508.744423,643.668925
C004,C005,6,266.59706,328.701411
C004,C006,6,269.011568,364.471805
C004,C007,6,372.712634,484.892092
C004,C008,6,420.049478,522.725344
C004,C009,6,128.58159,172.982639
C004,C010,6,296.054872,380.358523
C004,C011,6,350.574683,454.693909
C004,C012,6,197.789809,267.35661
C004,C013,6,329.627204,399.422793
C004,C014,6,263.76274,357.316407
C004,C015,6,413.165652,540.053754
C004,C016,6,67.771135,90.057146
C004,C017,6,237.501534,321.510969
C004,C018,6,208.120238,265.521991
C004,C019,6,400.897627,496.602185
C004,C020,6,279.98182,358.442549
C004,C021,6,330.692465,427.597997
C004,C022,6,434.257157,542.097797
C004,C023,6,59.492314,74.069448
C004,C024,6,471.292156,592.596672
C004,C025,6,154.261163,208.000636
C004,C026,6,228.456194,309.175012
C004,C027,6,319.648426,433.522714
C004,C028,6,366.892844,450.23291
C004,C029,6,186.730589,252.276165
C004,C030,6,236.050242,303.568218
C004,C031,6,408.729413,507.284186
C004,C032,6,437.227986,546.143793
C004,C033,6,329.75178,399.590044
C004,C034,6,202.221563,273.401871
C004,C035,6,331.217505,428.309821
C004,C036,6,41.413866,54.110764
C004,C037,6,250.971585,318.88349
C004,C038,6,467.226035,587.057867
C004,C039,6,359.168748,439.704169
C004,C040,6,393.297242,512.960594
C004,C041,6,326.11594,421.351711
C004,C042,6,276.118418,374.169822
C004,C043,6,97.645293,108.756666
C004,C044,6,285.178773,365.527017
C004,C045,6,307.109302,395.413544
C004,C046,6,158.976593,214.430038
C004,C047,6,295.109447,367.583547
C004,C048,6,446.326172,558.552219
C004,C049,6,354.677006,460.296727
C004,C050,6,295.080505,352.311379
C005,D01,6,191.403098,208.03519
C005,D02,6,218.026046,244.324293
C005,D03,6,123.068838,164.346772
C005,D04,6,217.125132,214.22511
C005,D05,6,255.904703,332.336646
C005,C001,6,296.435673,401.870041
C005,C002,6,121.73722,163.640611
C005,C003,6,266.410398,360.925103
C005,C004,6,266.59706,328.701411
C005,C006,6,177.691561,218.306221
C005,C007,6,225.904148,284.052893
C005,C008,6,177.715453,239.981522
C005,C009,6,161.084491,184.81974
C005,C010,6,149.246386,179.519324
C005,C011,6,203.766197,253.85471
C005,C012,6,178.122337,218.900129
C005,C013,6,87.293179,116.678971
C005,C014,6,137.14471,136.939673
C005,C015,6,243.066464,329.089651
C005,C016,6,201.659219,240.146769
C005,C017,6,130.370433,153.784804
C005,C018,6,61.311752,64.682792
C005,C019,6,158.563602,213.858363
C005,C020,6,133.173334,157.60335
C005,C021,6,152.926641,206.179386
C005,C022,6,191.923132,259.353975
C005,C023,6,230.796322,262.529418
C005,C024,6,228.958131,309.85285
C005,C025,6,115.163089,122.200043
C005,C026,6,97.806317,85.657632
C005,C027,6,203.414595,228.763045
C005,C028,6,124.558819,167.489088
C005,C029,6,142.361422,144.056971
C005,C030,6,190.746912,236.115872
C005,C031,6,166.395388,224.540364
C005,C032,6,194.893961,263.399971
C005,C033,6,87.417755,116.846222
C005,C034,6,98.57899,110.433889
C005,C035,6,184.409019,227.470622
C005,C036,6,234.144646,284.440427
C005,C037,6,104.163099,118.044291
C005,C038,6,224.89201,304.314045
C005,C039,6,116.834723,156.960347
C005,C040,6,246.488756,312.121394
C005,C041,6,179.307454,220.512512
C005,C042,6,168.987317,206.443657
C005,C043,6,192.629135,227.834666
C005,C044,6,138.370287,164.687818
C005,C045,6,160.300816,194.574345
C005,C046,6,139.309121,165.973557
C005,C047,6,31.343327,40.383393
C005,C048,6,203.992147,275.808397
C005,C049,6,207.86852,259.457527
C005,C050,6,52.74648,69.567557
C006,D01,6,33.776923,17.912005
C006,D02,6,97.03538,100.967068
C006,D03,6,297.929459,381.151736
C006,D04,6,391.985753,431.030074
C006,D05,6,338.479832,444.933998
C006,C001,6,294.33538,399.000909
C006,C002,6,296.597841,380.445575
C006,C003,6,348.985527,473.522455
C006,C004,6,269.011568,364.471805
C006,C005,6,177.691561,218.306221
C006,C007,6,198.569269,268.408106
C006,C008,6,332.919749,396.523169
C006,C009,6,143.258124,192.98894
C006,C010,6,117.584767,157.974437
C006,C011,6,222.938188,301.62838
C006,C012,6,74.052001,98.616081
C006,C013,6,262.1538,333.483935
C006,C014,6,282.567653,361.959823
C006,C015,6,239.022287,323.569767
C006,C016,6,204.073727,275.917163
C006,C017,6,50.146554,66.019749
C006,C018,6,119.214739,155.126801
C006,C019,6,333.424223,430.663327
C006,C020,6,152.345325,205.37702
C006,C021,6,203.05597,274.532468
C006,C022,6,278.338382,377.187855
C006,C023,6,212.969955,270.698618
C006,C024,6,343.537018,466.091691
C006,C025,6,173.066076,212.644052
C006,C026,6,247.261107,313.818428
C006,C027,6,89.5116,119.692614
C006,C028,6,260.947515,353.468579
C006,C029,6,205.535502,256.919581
C006,C030,6,51.960066,68.492226
C006,C031,6,254.258211,344.348207
C006,C032,6,369.754582,480.204935
C006,C033,6,262.278376,333.651186
C006,C034,6,85.426635,114.128905
C006,C035,6,157.07414,211.825835
C006,C036,6,236.559154,320.210821
C006,C037,6,138.700541,186.769749
C006,C038,6,307.467139,416.911397
C006,C039,6,291.695344,373.765311
C006,C040,6,219.153877,296.476607
C006,C041,6,198.479445,268.286182
C006,C042,6,45.981592,60.339722
C006,C043,6,174.802768,236.003866
C006,C044,6,157.542278,212.461488
C006,C045,6,85.24155,113.850848
C006,C046,6,112.863917,151.541963
C006,C047,6,206.203948,257.188357
C006,C048,6,362.024061,433.849538
C006,C049,6,180.533641,243.81274
C006,C050,6,227.607101,286.372521
C007,D01,6,212.280806,258.137075
C007,D02,6,173.940091,205.838266
C007,D03,6,296.317694,400.450978
C007,D04,6,340.719391,438.148105
C007,D05,6,193.211357,209.749812
C007,C001,6,149.066905,163.816723
C007,C002,6,294.986076,399.744817
C007,C003,6,203.717052,238.338269
C007,C004,6,372.712634,484.892092
C007,C005,6,225.904148,284.052893
C007,C006,6,198.569269,268.408106
C007,C008,6,249.499097,300.772403
C007,C009,6,252.453357,341.892664
C007,C010,6,97.299232,130.31348
C007,C011,6,122.827489,164.98376
C007,C012,6,236.529319,320.177198
C007,C013,6,208.637465,282.004219
C007,C014,6,330.78024,427.706495
C007,C015,6,93.753812,88.385581
C007,C016,6,307.774793,396.33745
C007,C017,6,194.029987,262.225569
C007,C018,6,167.427326,220.873473
C007,C019,6,275.636443,373.358912
C007,C020,6,135.594249,182.53578
C007,C021,6,186.304894,251.691228
C007,C022,6,144.884588,158.114599
C007,C023,6,322.165188,419.602342
C007,C024,6,198.268543,230.907505
C007,C025,6,221.278663,278.390724
C007,C026,6,295.473694,379.5651
C007,C027,6,126.017849,169.475
C007,C028,6,171.53711,231.406159
C007,C029,6,253.748089,322.666253
C007,C030,6,220.291462,298.036177
C007,C031,6,140.296473,188.806699
C007,C032,6,311.966802,422.90052
C007,C033,6,260.666611,352.950428
C007,C034,6,181.329019,244.906019
C007,C035,6,44.330779,58.086025
C007,C036,6,340.26022,440.631108
C007,C037,6,124.576887,167.512456
C007,C038,6,162.198664,181.727211
C007,C039,6,233.907564,316.460896
C007,C040,6,27.951887,35.607481
C007,C041,6,148.828423,200.441104
C007,C042,6,155.414385,209.567396
C007,C043,6,283.998001,384.90759
C007,C044,6,140.791202,189.620248
C007,C045,6,116.072247,155.91276
C007,C046,6,222.05915,300.445687
C007,C047,6,254.416535,322.935029
C007,C048,6,223.234357,264.951868
C007,C049,6,66.571903,88.271232
C007,C050,6,243.189636,329.118535
C008,D01,6,346.631286,386.252138
C008,D02,6,308.290571,333.953329
C008,D03,6,180.928801,243.248104
C008,D04,6,117.863114,134.398797
C008,D05,6,84.469902,97.397772
C008,C001,6,211.958642,286.675472
C008,C002,6,179.597183,242.541943
C008,C003,6,98.207995,131.559573
C008,C004,6,420.049478,522.725344
C008,C005,6,177.715453,239.981521
C008,C006,6,332.919749,396.523169
C008,C007,6,249.499097,300.772403
C008,C009,6,314.536909,378.843673
C008,C010,6,239.510911,269.14836
C008,C011,6,199.368042,214.407378
C008,C012,6,348.715976,418.068865
C008,C013,6,93.248572,124.801345
C008,C014,6,230.931677,264.832373
C008,C015,6,158.589433,213.895082
C008,C016,6,355.111637,434.170702
C008,C017,6,300.964072,352.95354
C008,C018,6,236.196265,303.163057
C008,C019,6,52.780166,69.609604
C008,C020,6,192.363295,204.857979
C008,C021,6,132.689504,123.489192
C008,C022,6,123.100903,165.506864
C008,C023,6,384.24874,456.553351
C008,C024,6,54.070296,71.370822
C008,C025,6,268.615507,316.223976
C008,C026,6,191.593284,213.550332
C008,C027,6,293.67912,318.392081
C008,C028,6,104.098576,84.494658
C008,C029,6,236.148389,271.949671
C008,C030,6,354.641942,426.15124
C008,C031,6,145.210845,140.558252
C008,C032,6,89.110525,119.151212
C008,C033,6,145.277718,195.747554
C008,C034,6,269.172629,309.602625
C008,C035,6,231.643051,258.421711
C008,C036,6,387.597064,478.46436
C008,C037,6,212.420497,232.209062
C008,C038,6,90.126003,120.5436
C008,C039,6,63.713144,84.523213
C008,C040,6,221.54721,265.164922
C008,C041,6,204.266375,221.088449
C008,C042,6,289.764865,337.682459
C008,C043,6,346.081553,421.858599
C008,C044,6,178.219643,185.568893
C008,C045,6,250.565341,284.203381
C008,C046,6,309.90276,365.142293
C008,C047,6,149.199208,201.097339
C008,C048,6,29.104312,37.326369
C008,C049,6,208.191526,226.439036
C008,C050,6,127.800743,171.915661
C009,D01,6,157.06918,180.796998
C009,D02,6,201.418762,243.314303
C009,D03,6,248.056512,311.824768
C009,D04,6,342.112806,361.703106
C009,D05,6,383.279112,506.021075
C009,C001,6,348.219468,472.485467
C009,C002,6,246.724894,311.118607
C009,C003,6,393.784807,534.609532
C009,C004,6,128.58159,172.982639
C009,C005,6,161.084491,184.81974
C009,C006,6,143.258124,192.98894
C009,C007,6,252.453357,341.892664
C009,C008,6,314.536909,378.843673
C009,C010,6,175.795595,237.359095
C009,C011,6,230.315406,311.694481
C009,C012,6,72.036365,95.873745
C009,C013,6,224.114635,255.541122
C009,C014,6,158.250171,213.434736
C009,C015,6,292.906375,397.054325
C009,C016,6,63.643749,84.427997
C009,C017,6,111.74809,150.028104
C009,C018,6,102.607669,121.64032
C009,C019,6,295.385058,352.720514
C009,C020,6,159.722543,215.443121
C009,C021,6,210.433188,284.598569
C009,C022,6,319.297541,433.038404
C009,C023,6,72.539977,79.209452
C009,C024,6,365.779587,448.715001
C009,C025,6,48.748594,64.118965
C009,C026,6,122.943625,165.293341
C009,C027,6,193.894982,262.039849
C009,C028,6,261.380275,306.351239
C009,C029,6,81.21802,108.394494
C009,C030,6,110.296798,132.085353
C009,C031,6,295.21737,400.198756
C009,C032,6,331.715417,402.262122
C009,C033,6,224.239211,255.708373
C009,C034,6,76.468119,101.919006
C009,C035,6,210.958228,285.310393
C009,C036,6,96.129176,128.721655
C009,C037,6,130.712308,175.884062
C009,C038,6,352.266419,477.998474
C009,C039,6,253.656179,295.822498
C009,C040,6,273.037965,369.961165
C009,C041,6,205.856663,278.352283
C009,C042,6,150.364974,202.686957
C009,C043,6,34.37279,44.5147
C009,C044,6,164.919496,222.527589
C009,C045,6,186.850025,252.414116
C009,C046,6,33.223149,42.947173
C009,C047,6,189.596878,223.701876
C009,C048,6,340.813603,414.670548
C009,C049,6,234.417729,317.297298
C009,C050,6,189.567936,208.429708
C010,D01,6,131.296304,147.703406
C010,D02,6,92.955589,95.404597
C010,D03,6,262.961396,355.105137
C010,D04,6,308.310499,394.094182
C010,D05,6,237.209795,306.839373
C010,C001,6,193.065343,260.906284
C010,C002,6,261.629778,354.398976
C010,C003,6,247.71549,335.42783
C010,C004,6,296.054872,380.358523
C010,C005,6,149.246386,179.519324
C010,C006,6,117.584767,157.974437
C010,C007,6,97.299232,130.31348
C010,C008,6,239.510911,269.148361
C010,C009,6,175.795595,237.359095
C010,C011,6,129.52935,174.253571
C010,C012,6,155.544817,209.743529
C010,C013,6,175.281167,236.658378
C010,C014,6,254.122478,323.172926
C010,C015,6,137.75225,185.475142
